	book	ode	sentence	text
0	1	1	0001	maecenas ataui edo rex o et praesidium et dulcis decus meus sum qui curriculum puluis olympicus colligo iuuo meta que feruidus euito rota palma que nobilis terra dominus eueho ad deus hic si mobilis turba quirites certo tergeminus tollo honor ille si proprius condo horreum quisquis de libycus uerro area
1	1	1	0002	gaudeo patrius findo sarculum ager attalicus condicio numquam demoueo ut trabs cyprius myrtous pauidus nauta seco mare luctor icarius fluctus africus mercator metuo otium et oppidum laudo rus suus mox reficio ratis quatio indocilis pauperies patior
2	1	1	0003	sum qui nec uetus poculum massicum nec pars solidus demo de dies sperno nunc uiridis membrum sub arbutus sterno nunc ad aqua lenis caput sacer castra multi iuuo et lituus tuba permisceo sonitus bellum que mater detestor maneo sub iuppiter frigidus uenator tener coniux immemor seu uideo _sum catulus cerua fidelis seu rumpo teres marsus aper plaga
3	1	1	0004	ego doctus hedera praemium frons deus misceo superus ego gelidus nemus nympha que leuis cum satyrus chorus secerno populus si neque tibia euterpe cohibeo nec polyhymnia lesbous refugio tendo barbitos
4	1	1	0005	quod si ego lyricus uates insero sublimis ferio sidus uertex
5	1	2	0006	iam satis terra nix atque dirus grando mitto pater et rubeo dextera sacer iaculor arx terreo urbs terreo gens grauis ne redeo saeculum pyrrha nouus monstrum queror omnis cum proteus pecus ago altus uiso mons piscis et superus genus haereo ulmus notus qui sedes sum columba et superiacio pauidus nato aequor dama
6	1	2	0007	uideo flauus tiberis retorqueo litus etruscus uiolenter unda eo deicio monumentum rex templum que uesta ilia dum sui nimius queror iacto ultor uagus et sinister labor ripa iuppiter non probo # uxorius amnis
7	1	2	0008	audio ciuis acuo ferrum qui grauis persae bene pereo audio pugna uitium parens rarus iuuentus
8	1	2	0009	quis uoco diuus populus ruo imperium res
9	1	2	0010	prex quis fatigo uirgo sanctus parum audio carmen uesta
10	1	2	0011	quis do pars scelus expio iuppiter
11	1	2	0012	tandem uenio precor nubes candeo humerus amicio augur apollo siue tu malo erycinus rideo qui iocus circum uolo et cupido siue negligo genus et nepos respicio auctor heu nimis longus satio ludus qui iuuo clamor galea que leuis acer et marsus pedes cruentus uultus in hostis siue muto iuuenis figura ales in terra imitor almus filius maia patiens uoco caesar ultor serus in caelum redeo diu que laetus intersum populus quirinus neue tu noster uitium iniquus ocior aura tollo hic magnus potius triumphus hic amo dico pater atque princeps neue sino medi equito inultus tu dux caesar
12	1	3	0013	sic tu diua potens cyprus sic frater helena lucidus sidus uentus que rego pater obstringo alius praeter iapyx nauis qui tu credo debeo uergilius finis atticus reddo incolumis precor et seruo anima dimidium meus
13	1	3	0014	ille robur et aes triplex circa pectus sum qui fragilis trux committo pelagus ratis primus nec timeo praeceps africus decerto aquilo nec tristis hyades nec rabies notus qui non arbiter hadria magnus tollo seu pono uolo fretum
14	1	3	0015	quis mors timeo gradus qui siccus oculus monstrum nato qui uideo mare turbidus et infamis scopulus acroceraunia
15	1	3	0016	nequiquam deus abscindo prudens oceanus dissociabilis terra si tamen impius non tango ratis transilio uadum
16	1	3	0017	audax omnis perpetior gens humanus ruo per ueto nefas audax iapetus genus ignis fraus malus gens infero
17	1	3	0018	post ignis aetherius domus subduco macies et nouus febris terra incumbo cohors semotus que prius tardus necessitas letum corripio gradus
