sentence	book	ode	form	polarity	sent_score
0001	1	1	Maecenas atauis edite regibus o et praesidium et dulce decus meum sunt quos curriculo puluerem Olympicum collegisse iuuat meta que feruidis euitata rotis palma que nobilis terrarum dominos euehit ad deos hunc si mobilium turba Quiritium certat tergeminis tollere honoribus illum si proprio condidit horreo quidquid de Libycis uerritur areis	positive	2.0
0002	1	1	gaudentem patrios findere sarculo agros Attalicis condicionibus numquam demoueas ut trabe Cypria Myrtoum pauidus nauta secet Mare luctantem Icariis fluctibus Africum mercator metuens otium et oppidi laudat rura sui mox reficit rates quassas indocilis pauperiem pati	negative	-1.5
0003	1	1	est qui nec ueteris pocula Massici nec partem solido demere de die spernit nunc uiridi membra sub arbuto stratus nunc ad aquae lene caput sacrae castra multos iuuant et lituo tubae permixtus sonitus bella que matribus detestata manet sub Ioue frigido uenator tenerae coniugis inmemor seu uisa <est> <uisa> est catulis cerua fidelibus seu rupit teretes Marsus aper plagas	positive	2.5
0004	1	1	me doctarum hederae praemia frontium dis miscent superis me gelidum nemus Nympharum que leues cum Satyris chori secernunt populo si neque tibias Euterpe cohibet nec Polyhymnia Lesboum refugit tendere barbiton	mixed	0.0
0005	1	1	quod si me lyricis uatibus inseres sublimi feriam sidera uertice	positive	0.5
0006	1	2	iam satis terris niuis atque dirae grandinis misit pater et rubente dextera sacras iaculatus arcis terruit urbem terruit gentis graue ne rediret saeculum Pyrrhae noua monstra questae omne cum Proteus pecus egit altos uisere montis piscium et summa genus haesit ulmo nota quae sedes fuerat columbis et superiecto pauidae natarunt aequore dammae	positive	0.5
0007	1	2	uidimus flauom Tiberim retortis litore Etrusco uiolenter undis ire deiectum monumenta regis templa que Vestae Iliae dum se nimium querenti iactat ultorem uagus et sinistra labitur ripa Ioue non probante u <xorius> <u> xorius amnis	neutral	0.0
0008	1	2	audiet ciuis acuisse ferrum quo graues Persae melius perirent audiet pugnas uitio parentum rara iuuentus	negative	-1.5
0009	1	2	quem uocet diuum populus ruentis imperi rebus	neutral	0.0
0010	1	2	prece qua fatigent uirgines sanctae minus audientem carmina Vestam	positive	0.5
0011	1	2	cui dabit partis scelus expiandi Iuppiter	negative	-1.0
0012	1	2	tandem uenias precamur nube candentis umeros amictus augur Apollo siue tu mauis Erycina ridens quam Iocus circum uolat et Cupido siue neglectum genus et nepotes respicis auctor heu nimis longo satiate ludo quem iuuat clamor galeae que leues acer et Marsi peditis cruentum uoltus in hostem siue mutata iuuenem figura ales in terris imitaris almae filius Maiae patiens uocari Caesaris ultor serus in caelum redeas diu que laetus intersis populo Quirini neue te nostris uitiis iniquum ocior aura tollat hic magnos potius triumphos hic ames dici pater atque princeps neu sinas Medos equitare inultos te duce Caesar	positive	1.0
0013	1	3	sic te diua potens Cypri sic fratres Helenae lucida sidera uentorum que regat pater obstrictis aliis praeter Iapyga nauis quae tibi creditum debes Vergilium finibus Atticis reddas incolumem precor et serues animae dimidium meae	positive	1.0
0014	1	3	illi robur et aes triplex circa pectus erat qui fragilem truci conmisit pelago ratem primus nec timuit praecipitem Africum decertantem Aquilonibus nec tristis Hyadas nec rabiem Noti quo non arbiter Hadriae maior tollere seu ponere uolt freta	negative	-1.0
0015	1	3	quem mortis timuit gradum qui siccis oculis monstra natantia qui uidit mare turbidum et infamis scopulos Acroceraunia	negative	-1.5
0016	1	3	nequiquam deus abscidit prudens oceano dissociabili terras si tamen inpiae non tangenda rates transiliunt uada	mixed	0.0
0017	1	3	audax omnia perpeti gens humana ruit per uetitum nefas audax Iapeti genus ignem fraude mala gentibus intulit	negative	-3.0
0018	1	3	post ignem aetheria domo subductum macies et noua febrium terris incubuit cohors semoti que prius tarda necessitas leti corripuit gradum	negative	-0.5
0019	1	3	expertus (est) uacuum Daedalus aera pennis non homini datis perrupit Acheronta Herculeus labor	negative	-0.5
0020	1	3	nil mortalibus ardui est caelum ipsum petimus stultitia neque per nostrum patimur scelus iracunda Iouem ponere fulmina	negative	-3.5
0021	1	4	soluitur acris hiems grata uice ueris et Fauoni trahunt que siccas machinae carinas ac neque iam stabulis gaudet pecus aut arator igni nec prata canis albicant pruinis	positive	1.0
