squalid	abiectus
aversion	abominatio
miscarriage	abortio
abortion	abortio
absence	absentia
perfect	absolutus
absolute	absolutus
overwhelming	absortio
abstinent	abstinens
abstinence	abstinentia
absurdity	absurditas
unmelodious	absurdus
absurd	absurdus
welcome	acceptus
credited	acceptus
accuracy	accuratio
careful	accuratus
accurate	accuratus
bitterness	acerbitas
anguish	acerbitas
anguish	acerbitudo
bitter	acerbus
careless	acosmos
poem	acroama
sea-shore	acta
beach	acta
acumen	acumen
accuracy	adcuratio
accurate	adcuratus
pain	adflictio
assault	adgressura
assault	adgressus
aid	adjutus
admirable	admirabilis
admirableness	admirabilitas
admiration	admirabilitas
admirable	admirandus
admiration	admiratio
crime	admissum
reminding	admonitio
advice	admonitio
adoration	adoratio
arrogant	adrogans
agreement	adsensio
flattery	adsentatio
agreement	adsentatio
flatterer	adsentator
attendance	adsiduitas
persistent	adsiduus
constant	adsiduus
bare	adtenuatus
antagonist	aduersaria
antagonist	aduersarius
misfortune	aduersum
fawning	adulatio
adulation	adulatio
adulteress	adultera
adulterous	adulterinus
adultery	adulterium
equity	aecum
contented	aecus
sick	aeger
invalid	aeger
sickness	aegritudo
affliction	aegritudo
sickness	aegrotatio
disease	aegrotatio
sick	aegrotus
invalid	aegrotus
ambition	aemulatio
comrade	aequalis
even	aequalis
comrade	aequalis
evenness	aequalitas
equality	aequalitas
equality	aequatio
uniformity	aequitas
conformity	aequitas
equity	aequum
contented	aequus
toil	aerumna
affliction	aerumna
wretched	aerumnosus
eternal	aeternalis
eternity	aeternitas
durability	aeternitas
eternal	aeternus
pain	afflictio
blow	afflictus
assault	aggressura
assault	aggressus
active	agilis
quickness	agilitas
activity	agilitas
column	agmen
active	alacer
active	alacris
quickness	alacritas
alacrity	alacritas
stroke	alapa
whitish	albidus
pale	albidus
nutritious	alebris
augury	ales
transference	alienatio
aversion	alienatio
foreigner	alienus
alte	altus
grown	altus
nourishing	altus
amiable	amabilis
lovableness	amabilitas
attractiveness	amabilitas
banishment	amandatio
lover	amans
bitterness	amaritas
bitterness	amarities
bitterness	amaritudo
bitter	amarus
ambiguity	ambiguitas
ambiguous	ambiguus
ambitious	ambitiosus
mad	amens
demented	amens
insanity	amentia
frenzy	amentia
friendly	amicalis
alliance	amicitia
friendship	amicities
cloak	amictus
friend	amicus
ally	amicus
loss	amissio
deprivation	amissio
admirable	ammirabilis
admiration	ammirabilitas
admiration	ammiratio
crime	ammissum
advice	ammonitio
love	amor
affair	amor
retirement	anachoresis
twofold	anceps
anguish	angor
asthmatic	anhelitor
air	anima
perception	animaduersio
life	animatus
alive	animatus
breathing	animatus
spiritual	animus
air	animus
rank	antistatus
abbot	antistes
anxiety	anxietas
anguish	anxietudo
anxiousness	anxitudo
anguish	anxitudo
anxious	anxius
abstr	apparatus
prepared	apparatus
equipment	apparatus
appraisal	appreciatum
absence	apsentia
complete	apsolutus
abstinence	apstinentia
absurd	apsurdus
busybody	ardalio
busybody	ardelio
hot	ardens
ardent	ardens
jesting	argutia
arrogant	arrogans
hefty	artutus
bitter	asper
difficulty	asperitas
contemptible	aspernabilis
roughness	asperum
adversity	asperum
roughness	aspredo
grittiness	aspritudo
agreement	assensio
agreement	assentatio
flatterer	assentator
attendance	assiduitas
constant	assiduus
bound	astrictus
cleverness	astus
craft	astus
athlete	athleta
athletic	athleticus
frightfulness	atrocitas
barbarity	atrocitas
bloody	atrox
avarice	auaritia
fertile	auctifer
authoritative	auctorizabilis
audacity	audacia
daring	audens
bold	audens
augury	augurium
air	aura
golden	aureus
beautiful	aureus
gold	aurum
sour	austerus
austere	austerus
pure	azymus
stupid	bardus
blockhead	baro
baron	baro
happiness	beatitas
beatitude	beatitas
happy	beatus
Saints	beatus
dainties	bellarium
beautiful	belliatus
beauty	bellitudo
agreeable	bellus
benefit	benefactum
kindness	beneficentia
beneficence	beneficentia
prebendary	beneficiarius
prebendary	beneficiatus
beneficence	beneficientia
kindness	beneficium
benefit	beneficium
comp	beneficus
beneficent	beneficus
comp	beneuolens
good-will	beneuolentia
king	beneuolus
benefit	benificium
kindness	benignitas
benevolence	benignitas
gen	benignus
affable	benignus
flattery	blanditia
caress	blanditia
caress	blandities
flattering	blandus
alluring	blandus
goodness	bonitas
benevolence	bonitas
good	bonum
advantage	bonum
gentleman	bonus
heavy	brutus
top	cacumen
limit	cacumen
blind-worm	caecilia
blindness	caecitas
blindness	caecitudo
blind	caecus
aimless	caecus
blindness	caecutientia
killing	caedes
assassination	caedes
assassination	caedis
heavenly	caeles
divinity	caeles
celibacy	caelibatus
bachelorhood	caelibatus
celestial	caelicus
heavens	caelum
burin	caelum
muddy	caenosus
filthy	caenosus
mud	caenum
dirt	caenum
holiness	caerimonia
ceremony	caerimonia
loss	calamitas
blight	calamitas
calamitous	calamitosus
dark	caligineus
fog	caligo
darkness	caligo
expertness	calliditas
craftiness	calliditas
clever	callidus
trick	calumnia
quibble	calumnia
pettifogger	calumniator
chicaner	calumniator
crab	cancer
Cancer	cancer
cancerous	canceratus
whiteness	candor
beauty	candor
crime	capital
capital	capitale
dangerous	capitalis
cheat	captio
deception	captio
captivity	captiuitas
fallacy	captiuncula
taken	captiuus
dangerous	caputalis
dearness	caritas
affection	caritas
empty	cassus
accident	cassus
punishment	castigatio
pruning	castigatio
sharp	catus
cat	catus
raillery	cauillatio
bail	cauitio
burning	causticus
caution	cautio
bail	cautio
cautious	cautus
careful	cautus
concealer	celator
commendable	celebrabilis
contest	certamen
battle	certamen
competitor	certator
assurance	certitudo
settled	certus
certain	certus
charity	charitas
