publish_date,headline_text,sentiment
0_1_1_1,maecenas ataui edo rex o et praesidium et dulcis decus meus sum qui curriculum puluis olympicus colligo iuuo meta que feruidus euito rota palma que nobilis terra dominus eueho ad deus hic si mobilis turba quirites certo tergeminus tollo honor ille si proprius condo horreum quisquis de libycus uerro area,1
1_1_1_2,gaudeo patrius findo sarculum ager attalicus condicio numquam demoueo ut trabs cyprius myrtous pauidus nauta seco mare luctor icarius fluctus africus mercator metuo otium et oppidum laudo rus suus mox reficio ratis quatio indocilis pauperies patior,0
2_1_1_3,sum qui nec uetus poculum massicum nec pars solidus demo de dies sperno nunc uiridis membrum sub arbutus sterno nunc ad aqua lenis caput sacer castra multi iuuo et lituus tuba permisceo sonitus bellum que mater detestor maneo sub iuppiter frigidus uenator tener coniux immemor seu uideo _sum catulus cerua fidelis seu rumpo teres marsus aper plaga,1
3_1_1_4,ego doctus hedera praemium frons deus misceo superus ego gelidus nemus nympha que leuis cum satyrus chorus secerno populus si neque tibia euterpe cohibeo nec polyhymnia lesbous refugio tendo barbitos,1
4_1_1_5,quod si ego lyricus uates insero sublimis ferio sidus uertex,1
5_1_2_6,iam satis terra nix atque dirus grando mitto pater et rubeo dextera sacer iaculor arx terreo urbs terreo gens grauis ne redeo saeculum pyrrha nouus monstrum queror omnis cum proteus pecus ago altus uiso mons piscis et superus genus haereo ulmus notus qui sedes sum columba et superiacio pauidus nato aequor dama,1
6_1_2_7,uideo flauus tiberis retorqueo litus etruscus uiolenter unda eo deicio monumentum rex templum que uesta ilia dum sui nimius queror iacto ultor uagus et sinister labor ripa iuppiter non probo # uxorius amnis,0
7_1_2_8,audio ciuis acuo ferrum qui grauis persae bene pereo audio pugna uitium parens rarus iuuentus,1
8_1_2_9,quis uoco diuus populus ruo imperium res,1
9_1_2_10,prex quis fatigo uirgo sanctus parum audio carmen uesta,1
10_1_2_11,quis do pars scelus expio iuppiter,1
11_1_2_12,tandem uenio precor nubes candeo humerus amicio augur apollo siue tu malo erycinus rideo qui iocus circum uolo et cupido siue negligo genus et nepos respicio auctor heu nimis longus satio ludus qui iuuo clamor galea que leuis acer et marsus pedes cruentus uultus in hostis siue muto iuuenis figura ales in terra imitor almus filius maia patiens uoco caesar ultor serus in caelum redeo diu que laetus intersum populus quirinus neue tu noster uitium iniquus ocior aura tollo hic magnus potius triumphus hic amo dico pater atque princeps neue sino medi equito inultus tu dux caesar,1
12_1_3_13,sic tu diua potens cyprus sic frater helena lucidus sidus uentus que rego pater obstringo alius praeter iapyx nauis qui tu credo debeo uergilius finis atticus reddo incolumis precor et seruo anima dimidium meus,1
13_1_3_14,ille robur et aes triplex circa pectus sum qui fragilis trux committo pelagus ratis primus nec timeo praeceps africus decerto aquilo nec tristis hyades nec rabies notus qui non arbiter hadria magnus tollo seu pono uolo fretum,1
14_1_3_15,quis mors timeo gradus qui siccus oculus monstrum nato qui uideo mare turbidus et infamis scopulus acroceraunia,1
15_1_3_16,nequiquam deus abscindo prudens oceanus dissociabilis terra si tamen impius non tango ratis transilio uadum,1
16_1_3_17,audax omnis perpetior gens humanus ruo per ueto nefas audax iapetus genus ignis fraus malus gens infero,0
17_1_3_18,post ignis aetherius domus subduco macies et nouus febris terra incumbo cohors semotus que prius tardus necessitas letum corripio gradus,1
18_1_3_19,experior uacuus daedalus aer penna non homo do perrumpo acheron herculeus labor,0
19_1_3_20,nihil mortalis arduum sum caelum ipse peto stultitia neque per noster patior scelus iracundus iuppiter pono fulmen,0
20_1_4_21,soluo acer hiems gratus uicis uer et fauonius traho que siccus machina carina ac neque iam stabulum gaudeo pecus aut arator ignis nec pratum canus albico pruina,1
21_1_4_22,iam cythereus chorus duco uenus immineo luna iungo que nympha gratia decens alternus terra quatio pes dum grauis cyclops uulcanus ardens uiso officina,1
22_1_4_23,nunc decet aut uiridis nitidus caput impedio myrtus aut flos terra qui fero solutus,1
23_1_4_24,nunc et in umbrosus faunus decet immolo lucus seu posco agna siue malo haedus,1
24_1_4_25,pallidus mors aequus pulso pes pauper taberna rex que turris,1
25_1_4_26,o beatus sestius uita summa breuis spes nos ueto incoho longus iam tu premo nox fabula que manes et domus exilis plutonius quo simul meo nec regnum uinum sortior talus nec tener lycidas miror qui caleo iuuentus nunc omnis et mox uirgo tepeo,1
26_1_5_27,quis multus gracilis tu puer in rosa perfundo liquidus urgeo odor gratus pyrrha sub antrum,1
27_1_5_28,quis flauus religo coma simplex munditia,1
28_1_5_29,heu quotiens fides muto que deus fleo et asper niger aequor uentus emiror insolens qui nunc tu fruor credulus aureus qui semper uacuus semper amabilis spero nescius aura fallax,1
29_1_5_30,miser qui intento niteo ego tabula sacer uotiuus paries indico uuidus suspendo potens uestimentum mare deus,1
30_1_6_31,scribo uarius fortis et hostis uictor maeonius carmen ales qui res cumque ferox nauis aut equus miles tu dux gero,1
31_1_6_32,nos agrippa neque hic dico nec grauis pelides stomachus cedo nescius nec cursus duplex per mare ulixes nec saeuus pelops domus conor tenuis grandis dum pudor imbellis que lyra musa potens ueto laus egregius caesar et tuus culpa detero ingenium,0
32_1_6_33,quis mars tunica tego adamantinus digne scribo aut puluis troicus niger meriones aut ops pallas tydides superi par,1
