publish_date,headline_text,sentiment
f-01-1,maecenas ataui edo rex o et praesidium et dulcis decus meus sum qui curriculum puluis olympicus colligo iuuo meta feruidus euito rota palma nobilis terra dominus eueho ad deus hic si mobilis turba quirites certo tergeminus tollo honor ille si proprius condo horreum quisquis de libycus uerro area ,1
f-01-2,gaudeo patrius findo sarculum ager attalicus condicio numquam demoueo ut trabs cyprius myrtous pauidus nauta seco mare luctor icarius fluctus africus mercator metuo otium et oppidum laudo rus suus mox reficio ratis quatio indocilis pauperies patior ,0
f-01-3,sum qui nec uetus poculum massicum nec pars solidus demo de dies sperno nunc uiridis membrum sub arbutus sterno nunc ad aqua lenis caput sacer castra multi iuuo et lituus tuba permisceo sonitus bellum mater detestor maneo sub iuppiter frigidus uenator tener coniux immemor seu uideo sum catulus cerua fidelis seu rumpo teres marsus aper plaga ,1
f-01-4,ego doctus hedera praemium frons deus misceo superus ego gelidus nemus nympha leuis cum satyrus chorus secerno populus si neque tibia euterpe cohibeo nec polyhymnia lesbous refugio tendo barbitos ,1
f-01-5,quod si ego lyricus uates insero sublimis ferio sidus uertex ,1
f-01-6,iam satis terra nix atque dirus grando mitto pater et rubeo dextera sacer iaculor arx terreo urbs terreo gens grauis ne redeo saeculum pyrrha nouus monstrum queror omnis cum proteus pecus ago altus uiso mons piscis et superus genus haereo ulmus notus qui sedes sum columba et superiacio pauidus nato aequor dama ,1
f-01-7,uideo flauus tiberis retorqueo litus etruscus uiolenter unda eo deicio monumentum rex templum uesta ilia dum sui nimius queror iacto ultor uagus et sinister labor ripa iuppiter non probo uxorius amnis ,0
f-01-8,audio ciuis acuo ferrum qui grauis persae bene pereo audio pugna uitium parens rarus iuuentus ,1
f-01-9,quis uoco diuus populus ruo imperium res ,1
f-01-10,prex quis fatigo uirgo sanctus parum audio carmen uesta ,1
f-01-11,quis do pars scelus expio iuppiter ,1
f-01-12,tandem uenio precor nubes candeo humerus amicio augur apollo siue tu malo erycinus rideo qui iocus circum uolo et cupido siue negligo genus et nepos respicio auctor heu nimis longus satio ludus qui iuuo clamor galea leuis acer et marsus pedes cruentus uultus in hostis siue muto iuuenis figura ales in terra imitor almus filius maia patiens uoco caesar ultor serus in caelum redeo diu laetus intersum populus quirinus neue tu noster uitium iniquus ocior aura tollo hic magnus potius triumphus hic amo dico pater atque princeps neue sino medi equito inultus tu dux caesar ,1
